category,moderate,moist,wet
report_date,3/4/25,3/4/25,3/4/25
fire_type,Prescribed,Prescribed,Prescribed
fuelbed,46 - Chamise chaparral shrubland,46 - Chamise chaparral shrubland,46 - Chamise chaparral shrubland
fire_size_acres,1,1,1
latitude,37.119,37.119,37.119
longitude,-121.438,-121.438,-121.438
duff_consumption_tpa,0,0,0
flaming_consumption_tpa,10,10,10
smoldering_consumption_tpa,0.8,0.8,0.8
residual_consumption_tpa,0,0,0
total_consumption_tpa,10.8,10.8,10.8
heat_release_btu_ft2,3965,3965,3965
pm2_5_emissions_t,0,0,0
pm10_emissions_t,0,0,0
co_emissions_t,1,1,1
co2_emissions_t,17,17,17
ghg_emissions_t,19,19,19
ch4_emissions_t,0,0,0
nox_emissions_t,0,0,0
vocs_emissions_t,0,0,0
nh3_emissions_t,0,0,0
so2_emissions_t,0,0,0
fuel_moisture_level,Moderate,Moist,Wet
fuel_moisture_1000hr_pct,30,35,40
duff_moisture_pct,75,100,130
litter_moisture_pct,16,22,30
duff_percent_available,45,30,20
sound_coarse_woody_debris_pct_available,45,30,20
rotten_coarse_woody_debris_pct_available,50,35,25
shrub_consumption_pct,50,50,50
canopy_consumption_pct,0,0,0
total_fuel_loading_tpa,19.11,19.11,19.11
primary_shrubs_tpa,12.06,12.06,12.06
secondary_shrubs_tpa,0.17,0.17,0.17
needle_drape_tpa,0,0,0
wood_1hr_tpa,0.5,0.5,0.5
wood_10hr_tpa,1,1,1
wood_100hr_tpa,1,1,1
wood_1000hr_tpa,0,0,0
wood_10000hr_tpa,0,0,0
wood_over_10000hr_tpa,0,0,0
litter_tpa,0.3,0.3,0.3
litter_depth_in,1,1,1
upper_duff_tpa,1.92,1.92,1.92
lower_duff_tpa,2.16,2.16,2.16
basal_accumulation_tpa,0,0,0
squirrel_middens_tpa,0,0,0
rotten_stumps_tpa,0,0,0
lightered_stumps_tpa,0,0,0
clean_piles_tpa,0,0,0
dirty_piles_tpa,0,0,0
really_dirty_piles_tpa,0,0,0
