category,moderate,moist,wet
report_date,3/4/25,3/4/25,3/4/25
fire_type,Prescribed,Prescribed,Prescribed
fuelbed,16 - Jeffrey pine-ponderosa pine-Douglas-fir-California black oak forest,16 - Jeffrey pine-ponderosa pine-Douglas-fir-California black oak forest,16 - Jeffrey pine-ponderosa pine-Douglas-fir-California black oak forest
fire_size_acres,1,1,1
latitude,40.967,40.967,40.967
longitude,-122.365,-122.365,-122.365
duff_consumption_tpa,0,0,0
flaming_consumption_tpa,6,6,6
smoldering_consumption_tpa,1.19,0.87,0.6
residual_consumption_tpa,1.19,0.87,0.6
total_consumption_tpa,8.38,7.74,7.2
heat_release_btu_ft2,3082,2842,2644
pm2_5_emissions_t,0,0,0
pm10_emissions_t,0,0,0
co_emissions_t,1,1,1
co2_emissions_t,13,12,12
ghg_emissions_t,16,14,13
ch4_emissions_t,0,0,0
nox_emissions_t,0,0,0
vocs_emissions_t,0,0,0
nh3_emissions_t,0,0,0
so2_emissions_t,0,0,0
fuel_moisture_level,Moderate,Moist,Wet
fuel_moisture_1000hr_pct,30,35,40
duff_moisture_pct,75,100,130
litter_moisture_pct,16,22,30
duff_percent_available,45,30,20
sound_coarse_woody_debris_pct_available,45,30,20
rotten_coarse_woody_debris_pct_available,50,35,25
shrub_consumption_pct,50,50,50
canopy_consumption_pct,0,0,0
total_fuel_loading_tpa,72.05,72.05,72.05
primary_shrubs_tpa,2.03,2.03,2.03
secondary_shrubs_tpa,0.1,0.1,0.1
needle_drape_tpa,1.5,1.5,1.5
wood_1hr_tpa,0.3,0.3,0.3
wood_10hr_tpa,1.4,1.4,1.4
wood_100hr_tpa,1.8,1.8,1.8
wood_1000hr_tpa,0.8,0.8,0.8
wood_10000hr_tpa,2.5,2.5,2.5
wood_over_10000hr_tpa,0,0,0
litter_tpa,2.65,2.65,2.65
litter_depth_in,1,1,1
upper_duff_tpa,7.04,7.04,7.04
lower_duff_tpa,0,0,0
basal_accumulation_tpa,0.01,0.01,0.01
squirrel_middens_tpa,0,0,0
rotten_stumps_tpa,0,0,0
lightered_stumps_tpa,0,0,0
clean_piles_tpa,0,0,0
dirty_piles_tpa,0,0,0
really_dirty_piles_tpa,0,0,0
